,initial_ke,mid1_ratio,mid2_ratio,retardation,tof_min,tof_std
0,17.0,0.11248,0.8,-1.0,0.16394,6.534359461062222e-05
0,2.0,0.11248,0.8,-1.0,0.607749,0.00020922909077615698
0,26.0,0.11248,0.8,-1.0,0.131597,5.8620470422655844e-05
0,3.0,0.11248,0.8,-1.0,0.443933,0.00013575452169633227
0,301.0,0.11248,0.8,-1.0,0.0383345,1.0345190146920875e-05
0,5.0,0.11248,0.8,-1.0,0.320888,0.0001155409966457881
0,51.0,0.11248,0.8,-1.0,0.0933957,3.6100816482149716e-05
0,7.0,0.11248,0.8,-1.0,0.264308,0.00010634311878739577
0,76.0,0.11248,0.8,-1.0,0.0763788,2.8271662145088983e-05
0,9.0,0.11248,0.8,-1.0,0.229995,9.357828196000484e-05
0,1.3,0.11248,0.9,-1.0,1.02702,0.0003924779844194764
0,1.6,0.11248,0.9,-1.0,0.761072,0.00022276695908419984
0,101.0,0.11248,0.9,-1.0,0.06621,2.3042286355837734e-05
0,13.0,0.11248,0.9,-1.0,0.188765,7.261963577018619e-05
0,151.0,0.11248,0.9,-1.0,0.054124,1.6888268493996294e-05
0,17.0,0.11248,0.9,-1.0,0.16394,6.953031618855762e-05
0,2.0,0.11248,0.9,-1.0,0.607695,0.00022900533124078166
0,26.0,0.11248,0.9,-1.0,0.131597,5.9548929245675375e-05
0,3.0,0.11248,0.9,-1.0,0.443913,0.00015225844463631846
0,301.0,0.11248,0.9,-1.0,0.0383347,1.0154483868613135e-05
0,5.0,0.11248,0.9,-1.0,0.320879,0.00011940424787092218
0,51.0,0.11248,0.9,-1.0,0.0933961,3.779092397879662e-05
0,7.0,0.11248,0.9,-1.0,0.264305,0.00011754424122500842
0,76.0,0.11248,0.9,-1.0,0.0763791,2.8689313418453933e-05
0,9.0,0.11248,0.9,-1.0,0.229993,0.0001163445700787811
0,1.3,0.11248,0.0,-1.0,1.02944,0.00030295506854057544
